DATE,WORKOUT,NB_EXERCISES,NB_SETS
2023-03-27,Legs,3,12
2023-03-28,Back / Shoulders,5,16
2023-04-03,Chest / Shoulders,4,16
2023-04-04,Back / Shoulders,4,16
2023-04-06,Legs,4,16
2023-04-08,Arms / Shoulders,5,26
2023-04-10,Chest / Shoulders,3,12
2023-04-14,Back / Shoulders,4,13
2023-04-15,Chest / Shoulders,4,16
2023-04-17,Legs,2,8
2023-04-20,Arms,4,16
2023-05-07,Chest,3,10
2023-05-15,Arms,2,8
2023-05-19,Legs,4,12
2023-05-20,Back / Shoulders / Biceps,7,21
2023-05-21,Chest / Shoulders / Triceps,7,22
2023-05-25,Back / Shoulders,4,16
2023-05-27,Chest / Shoulders / Triceps,7,21
2023-05-28,Legs,5,17
2023-05-29,Back / Shoulders / Biceps,7,22
2023-05-30,Chest / Shoulders / Triceps,7,21
2023-06-02,Back / Shoulders / Biceps,5,20
2023-06-03,Chest / Shoulders / Triceps,7,22
2023-06-04,Legs,5,16
2023-06-06,Back / Shoulders / Biceps,5,19
2023-06-09,Chest / Shoulders / Triceps,7,21
2023-06-10,Back / Shoulders / Biceps,5,19
2023-06-11,Legs,6,19
2023-06-16,Chest / Shoulders / Triceps,7,19
2023-06-17,Legs,5,16
2023-06-21,Back / Shoulders / Biceps,7,21
2023-06-22,Chest / Shoulders / Triceps,9,25
2023-06-24,Legs,3,9
2023-06-26,Back / Shoulders / Biceps,7,21
2023-07-01,Back / Shoulders / Biceps,7,21
2023-07-02,Chest / Shoulders / Triceps,6,18
2023-07-05,Back / Shoulders / Biceps,7,21
2023-07-07,Chest / Shoulders / Triceps,7,22
2023-07-08,Back / Shoulders / Biceps,7,22
2023-07-09,Legs,5,12
2023-07-11,Chest / Shoulders / Triceps,7,21
2023-07-12,Back / Shoulders / Biceps,7,21
2023-07-15,Chest / Shoulders / Triceps,8,21
2023-07-16,Back / Shoulders / Biceps,7,22
2023-07-19,Chest / Shoulders / Triceps,7,21
2023-07-22,Back / Shoulders / Biceps,7,21
2023-07-24,Chest / Shoulders / Triceps,6,17
2023-07-27,Legs,3,11
2023-07-30,Chest / Shoulders / Triceps,4,15
2023-08-05,Back / Biceps,5,14
2023-08-06,Legs,3,9
2023-08-08,Chest / Shoulders / Triceps,7,21
2023-08-18,Back / Biceps,4,14
2023-08-22,Chest / Shoulders / Triceps,4,13
2023-08-23,Back / Biceps,4,13
2023-09-05,Chest / Shoulders / Triceps,7,21
2023-09-13,Chest / Shoulders / Triceps,5,15
2023-09-15,Back / Biceps,4,14
2023-09-16,Chest / Shoulders / Triceps,5,15
2023-09-17,Legs,5,16
2023-09-20,Arms,4,12
2023-09-22,Back / Shoulders / Biceps,4,14
2023-09-23,Chest / Shoulders,4,12
2023-09-30,Chest / Shoulders / Triceps,8,20
2023-10-01,Back / Shoulders / Biceps,6,18
2023-10-15,Arms,4,12
2023-10-18,Chest / Shoulders / Triceps,4,12
2023-10-29,Back / Biceps,4,14
2023-11-04,Chest / Shoulders / Triceps,7,19
2023-11-05,Legs,5,15
2023-11-11,Chest / Shoulders / Triceps,6,18
2023-11-12,Legs,5,15
2023-11-18,Back / Biceps,4,14
2023-11-19,Legs,5,15
2023-11-25,Chest / Shoulders / Triceps,7,19
2023-12-01,Back / Shoulders / Biceps,6,18
2023-12-02,Chest / Shoulders / Triceps,6,18
2023-12-03,Legs,5,15
2023-12-08,Back / Shoulders / Biceps,6,18
2023-12-09,Chest / Shoulders / Triceps,7,19
2023-12-10,Legs,5,15
2023-12-16,Chest / Shoulders / Triceps,8,20
2023-12-17,Back / Biceps,4,15
2023-12-22,Back / Biceps,4,16
2023-12-23,Chest / Shoulders / Triceps,7,19
2023-12-24,Legs,4,11
2023-12-30,Chest / Shoulders / Triceps,6,18
2023-12-31,Back / Biceps,4,15
2024-01-05,Back / Shoulders / Biceps,6,18
2024-01-06,Chest / Shoulders / Triceps,8,20
2024-01-07,Legs,4,12
2024-01-12,Back / Biceps,4,14
2024-01-13,Chest / Shoulders / Triceps,9,20
2024-01-14,Legs,5,15
2024-01-18,Back / Biceps,4,16
2024-01-20,Chest / Shoulders / Triceps,6,18
2024-01-21,Biceps / Abs,4,12
2024-01-26,Back / Biceps,4,15
2024-01-27,Chest / Shoulders / Triceps,7,19
2024-01-28,Legs,5,15
2024-02-02,Back / Biceps,4,15
2024-02-03,Chest / Shoulders / Triceps,7,19
2024-02-04,Legs,5,15
